time,Donor,PlasmidFreeDonor,Recipient,Transconjugant
302.0,108727.0,0.0,108680.0,0.0
303.0,108760.0,0.0,108709.0,0.0
304.0,108798.0,0.0,108735.0,0.0
305.0,108830.0,0.0,108760.0,0.0
306.0,108863.0,0.0,108791.0,0.0
307.0,108893.0,0.0,108812.0,0.0
308.0,108914.0,0.0,108840.0,0.0
309.0,108939.0,0.0,108893.0,0.0
310.0,108972.0,0.0,108926.0,0.0
311.0,109006.0,0.0,108953.0,0.0
312.0,109031.0,0.0,108993.0,0.0
313.0,109053.0,0.0,109025.0,0.0
314.0,109088.0,0.0,109053.0,0.0
315.0,109118.0,0.0,109085.0,0.0
316.0,109146.0,0.0,109112.0,0.0
317.0,109176.0,0.0,109145.0,0.0
318.0,109215.0,0.0,109167.0,0.0
319.0,109250.0,0.0,109194.0,0.0
320.0,109282.0,0.0,109225.0,0.0
321.0,109307.0,0.0,109262.0,0.0
322.0,109331.0,0.0,109285.0,0.0
323.0,109367.0,0.0,109309.0,0.0
324.0,109405.0,0.0,109346.0,0.0
325.0,109444.0,0.0,109379.0,0.0
326.0,109471.0,0.0,109398.0,0.0
327.0,109501.0,0.0,109431.0,0.0
328.0,109542.0,0.0,109455.0,0.0
329.0,109583.0,0.0,109496.0,0.0
330.0,109616.0,0.0,109529.0,0.0
331.0,109642.0,0.0,109560.0,0.0
332.0,109682.0,0.0,109589.0,0.0
333.0,109702.0,0.0,109620.0,0.0
334.0,109731.0,0.0,109644.0,0.0
335.0,109764.0,0.0,109674.0,0.0
336.0,109792.0,0.0,109711.0,0.0
337.0,109832.0,0.0,109740.0,0.0
338.0,109856.0,0.0,109776.0,0.0
339.0,109890.0,0.0,109807.0,0.0
340.0,109931.0,0.0,109837.0,0.0
341.0,109959.0,0.0,109875.0,0.0
342.0,109987.0,0.0,109912.0,0.0
343.0,110023.0,0.0,109941.0,0.0
344.0,110061.0,0.0,109979.0,0.0
345.0,110106.0,0.0,110016.0,0.0
346.0,110132.0,0.0,110044.0,0.0
347.0,110159.0,0.0,110066.0,0.0
348.0,110185.0,0.0,110096.0,0.0
349.0,110210.0,0.0,110132.0,0.0
350.0,110244.0,0.0,110161.0,0.0
351.0,110266.0,0.0,110190.0,0.0
352.0,110299.0,0.0,110223.0,0.0
353.0,110337.0,0.0,110252.0,0.0
354.0,110379.0,0.0,110277.0,0.0
355.0,110421.0,0.0,110317.0,0.0
356.0,110453.0,0.0,110357.0,0.0
357.0,110485.0,0.0,110378.0,0.0
358.0,110518.0,0.0,110414.0,0.0
359.0,110551.0,0.0,110448.0,0.0
360.0,110574.0,0.0,110484.0,0.0
361.0,110607.0,0.0,110514.0,0.0
362.0,110632.0,0.0,110544.0,0.0
363.0,110653.0,0.0,110569.0,0.0
364.0,110687.0,0.0,110609.0,0.0
365.0,110710.0,0.0,110636.0,0.0
366.0,110735.0,0.0,110663.0,0.0
367.0,110769.0,0.0,110689.0,0.0
368.0,110798.0,0.0,110721.0,0.0
369.0,110824.0,0.0,110753.0,0.0
370.0,110848.0,0.0,110783.0,0.0
371.0,110879.0,0.0,110816.0,0.0
372.0,110910.0,0.0,110850.0,0.0
373.0,110944.0,0.0,110885.0,0.0
374.0,110975.0,0.0,110921.0,0.0
375.0,111003.0,0.0,110950.0,0.0
376.0,111026.0,0.0,110977.0,0.0
377.0,111048.0,0.0,110995.0,0.0
378.0,111091.0,0.0,111033.0,0.0
379.0,111119.0,0.0,111078.0,0.0
380.0,111151.0,0.0,111122.0,0.0
381.0,111184.0,0.0,111166.0,0.0
382.0,111224.0,0.0,111189.0,0.0
