,Experiments,LDM,SIM
268,E1_I2_P67,,2.1088197446304448e-14
269,E1_I2_P68,,1.5176980871218185e-14
270,E1_I2_P69,,1.6560196111450667e-14
271,E1_I2_P70,,3.956563608105336e-14
272,E1_I2_P71,,0.0
273,E1_I2_P72,,0.0
274,E1_I2_P73,,0.0
275,E1_I2_P74,,2.192762146974399e-14
276,E1_I2_P75,,0.0
277,E1_I2_P76,,0.0
278,E1_I2_P77,,0.0
279,E1_I2_P78,,0.0
280,E1_I2_P79,,4.1406061680244243e-14
281,E1_I2_P80,,0.0
282,E1_I2_P81,,0.0
283,E1_I2_P82,,0.0
284,E1_I2_P83,,2.0598246574874984e-14
285,E1_I2_P84,,1.39734455935027e-14
286,E1_I2_P85,,0.0
287,E1_I2_P86,,5.722003430649227e-14
288,E1_I2_P87,,0.0
289,E1_I2_P88,,0.0
290,E1_I2_P89,,0.0
291,E1_I2_P90,,0.0
292,E1_I2_P91,,1.7700926777015525e-14
293,E1_I2_P92,,0.0
294,E1_I2_P93,,0.0
295,E1_I2_P94,,0.0
296,E1_I2_P95,,0.0
297,E1_I2_P96,,2.2152849769282653e-14
298,E1_I2_P97,,0.0
299,E1_I2_P98,,2.4445408546721716e-14
300,E1_I2_P99,,1.575334933627499e-13
301,E2_I2_P0,,0.0
302,E2_I2_P1,,0.0
303,E2_I2_P2,,1.6251489288315837e-14
304,E2_I2_P3,,0.0
305,E2_I2_P4,,2.669277873553822e-14
306,E2_I2_P5,,1.6009668020605843e-13
307,E2_I2_P6,,0.0
308,E2_I2_P7,,1.765756875840839e-14
309,E2_I2_P8,,0.0
310,E2_I2_P9,,2.3933386112859564e-14
311,E2_I2_P10,,0.0
312,E2_I2_P11,,4.722514786456295e-14
313,E2_I2_P12,,9.688249091432119e-15
314,E2_I2_P13,,0.0
315,E2_I2_P14,,3.898447212968974e-14
316,E2_I2_P15,,0.0
317,E2_I2_P16,,0.0
318,E2_I2_P17,,1.2206025658622371e-14
319,E2_I2_P18,,0.0
320,E2_I2_P19,,1.7201519606517515e-14
321,E2_I2_P20,,2.820149275602721e-14
322,E2_I2_P21,,0.0
323,E2_I2_P22,,3.9573135161135486e-14
324,E2_I2_P23,,4.083347206820474e-14
325,E2_I2_P24,,0.0
326,E2_I2_P25,,0.0
327,E2_I2_P26,,1.4511150975569944e-14
328,E2_I2_P27,,0.0
329,E2_I2_P28,,0.0
330,E2_I2_P29,,0.0
331,E2_I2_P30,,0.0
332,E2_I2_P31,,0.0
333,E2_I2_P32,,0.0
334,E2_I2_P33,,1.2601937142601032e-14
335,E2_I2_P34,,3.4743425720819854e-14
336,E2_I2_P35,,0.0
337,E2_I2_P36,,0.0
338,E2_I2_P37,,0.0
339,E2_I2_P38,,1.685981850349986e-13
340,E2_I2_P39,,0.0
341,E2_I2_P40,,0.0
342,E2_I2_P41,,0.0
343,E2_I2_P42,,0.0
344,E2_I2_P43,,0.0
345,E2_I2_P44,,0.0
346,E2_I2_P45,,3.67388086372446e-14
347,E2_I2_P46,,0.0
348,E2_I2_P47,,1.3097284124433736e-14
349,E2_I2_P48,,3.7781193107429165e-14
350,E2_I2_P49,,2.6460084061301752e-14
351,E2_I2_P50,,0.0
352,E2_I2_P51,,2.745551262800325e-14
353,E2_I2_P52,,1.6407675341156185e-14
354,E2_I2_P53,,0.0
355,E2_I2_P54,,3.470333211446044e-14
356,E2_I2_P55,,0.0
357,E2_I2_P56,,3.051380836585531e-14
358,E2_I2_P57,,0.0
359,E2_I2_P58,,0.0
360,E2_I2_P59,,0.0
361,E2_I2_P60,,0.0
362,E2_I2_P61,,4.6506917253720356e-14
363,E2_I2_P62,,1.0067232792994669e-14
364,E2_I2_P63,,2.030452553597008e-14
365,E2_I2_P64,,0.0
366,E2_I2_P65,,0.0
367,E2_I2_P66,,0.0
368,E2_I2_P67,,0.0
369,E2_I2_P68,,0.0
370,E2_I2_P69,,1.0662597712085944e-14
371,E2_I2_P70,,1.5132981548050124e-14
372,E2_I2_P71,,0.0
373,E2_I2_P72,,0.0
374,E2_I2_P73,,2.010473561665992e-14
375,E2_I2_P74,,0.0
376,E2_I2_P75,,0.0
377,E2_I2_P76,,0.0
378,E2_I2_P77,,1.9663930556809413e-13
379,E2_I2_P78,,0.0
380,E2_I2_P79,,1.9221617913351138e-14
381,E2_I2_P80,,5.759399689899963e-14
382,E2_I2_P81,,2.91155221526842e-14
383,E2_I2_P82,,0.0
384,E2_I2_P83,,0.0
385,E2_I2_P84,,0.0
386,E2_I2_P85,,0.0
387,E2_I2_P86,,0.0
388,E2_I2_P87,,2.772585525506538e-13
389,E2_I2_P88,,2.3837347221054837e-14
390,E2_I2_P89,,0.0
391,E2_I2_P90,,0.0
392,E2_I2_P91,,4.2253688008564324e-14
393,E2_I2_P92,,0.0
394,E2_I2_P93,,0.0
395,E2_I2_P94,,0.0
396,E2_I2_P95,,3.0004042068701727e-13
397,E2_I2_P96,,1.812832489597115e-14
398,E2_I2_P97,,0.0
399,E2_I2_P98,,2.3631197045598024e-14
400,E2_I2_P99,,1.4207053486831705e-14
401,E3_I2_P0,,0.0
402,E3_I2_P1,,0.0
403,E3_I2_P2,,0.0
404,E3_I2_P3,,0.0
405,E3_I2_P4,,0.0
406,E3_I2_P5,,1.9477998300757802e-14
407,E3_I2_P6,,3.9579786634658485e-14
408,E3_I2_P7,,0.0
409,E3_I2_P8,,0.0
410,E3_I2_P9,,0.0
411,E3_I2_P10,,0.0
412,E3_I2_P11,,5.1511549599572215e-14
413,E3_I2_P12,,0.0
414,E3_I2_P13,,0.0
415,E3_I2_P14,,0.0
416,E3_I2_P15,,1.522020793502749e-14
417,E3_I2_P16,,1.8725150993874002e-13
418,E3_I2_P17,,0.0
419,E3_I2_P18,,0.0
420,E3_I2_P19,,3.2431912207223186e-14
421,E3_I2_P20,,2.0453068227400592e-14
422,E3_I2_P21,,0.0
423,E3_I2_P22,,1.0980492472000393e-14
424,E3_I2_P23,,1.4953650987703237e-14
425,E3_I2_P24,,1.999917110127092e-14
426,E3_I2_P25,,3.475473952933089e-14
427,E3_I2_P26,,0.0
428,E3_I2_P27,,1.5812077382647155e-14
429,E3_I2_P28,,0.0
430,E3_I2_P29,,0.0
