,Experiments,LDM,SIM
396,E2_I2_P95,,2.672556890498373e-13
397,E2_I2_P96,,0.0
398,E2_I2_P97,,0.0
399,E2_I2_P98,,0.0
400,E2_I2_P99,,1.8353314880309292e-14
401,E3_I2_P0,,0.0
402,E3_I2_P1,,0.0
403,E3_I2_P2,,1.4770047410688123e-14
404,E3_I2_P3,,1.956976970965744e-14
405,E3_I2_P4,,0.0
406,E3_I2_P5,,0.0
407,E3_I2_P6,,1.6888752872688122e-14
408,E3_I2_P7,,2.87221380394102e-14
409,E3_I2_P8,,0.0
410,E3_I2_P9,,0.0
411,E3_I2_P10,,0.0
412,E3_I2_P11,,1.6804104585922166e-14
413,E3_I2_P12,,0.0
414,E3_I2_P13,,0.0
415,E3_I2_P14,,1.6673456170414374e-14
416,E3_I2_P15,,1.8408893161933423e-14
417,E3_I2_P16,,0.0
418,E3_I2_P17,,0.0
419,E3_I2_P18,,7.186027345477257e-14
420,E3_I2_P19,,1.4307722416012975e-14
421,E3_I2_P20,,0.0
422,E3_I2_P21,,0.0
423,E3_I2_P22,,0.0
424,E3_I2_P23,,0.0
425,E3_I2_P24,,0.0
426,E3_I2_P25,,0.0
427,E3_I2_P26,,0.0
428,E3_I2_P27,,0.0
429,E3_I2_P28,,1.7959984074740497e-14
430,E3_I2_P29,,0.0
431,E3_I2_P30,,0.0
432,E3_I2_P31,,4.0347908278759744e-14
433,E3_I2_P32,,0.0
434,E3_I2_P33,,0.0
435,E3_I2_P34,,0.0
436,E3_I2_P35,,0.0
437,E3_I2_P36,,1.3063148059352171e-14
438,E3_I2_P37,,0.0
439,E3_I2_P38,,0.0
440,E3_I2_P39,,0.0
441,E3_I2_P40,,1.9833599820401143e-14
442,E3_I2_P41,,0.0
443,E3_I2_P42,,1.453600724500393e-13
444,E3_I2_P43,,2.1895761661228527e-14
445,E3_I2_P44,,0.0
446,E3_I2_P45,,2.7098798562157025e-14
447,E3_I2_P46,,5.026094954027594e-14
448,E3_I2_P47,,3.812977734227254e-14
449,E3_I2_P48,,2.0207687410163633e-14
450,E3_I2_P49,,0.0
451,E3_I2_P50,,0.0
452,E3_I2_P51,,0.0
453,E3_I2_P52,,0.0
454,E3_I2_P53,,6.41606837532899e-14
455,E3_I2_P54,,0.0
456,E3_I2_P55,,0.0
457,E3_I2_P56,,0.0
458,E3_I2_P57,,0.0
459,E3_I2_P58,,2.185213094488982e-14
460,E3_I2_P59,,0.0
461,E3_I2_P60,,0.0
462,E3_I2_P61,,0.0
463,E3_I2_P62,,0.0
464,E3_I2_P63,,0.0
465,E3_I2_P64,,0.0
466,E3_I2_P65,,2.4554202772417798e-14
467,E3_I2_P66,,0.0
468,E3_I2_P67,,0.0
469,E3_I2_P68,,1.4292613448708716e-14
470,E3_I2_P69,,0.0
471,E3_I2_P70,,0.0
472,E3_I2_P71,,0.0
473,E3_I2_P72,,0.0
474,E3_I2_P73,,1.1376798776615542e-14
475,E3_I2_P74,,0.0
476,E3_I2_P75,,2.225445410457731e-14
477,E3_I2_P76,,0.0
478,E3_I2_P77,,1.7754916857768882e-14
479,E3_I2_P78,,1.5837843085397095e-14
480,E3_I2_P79,,0.0
481,E3_I2_P80,,0.0
482,E3_I2_P81,,0.0
483,E3_I2_P82,,0.0
484,E3_I2_P83,,2.5639054088911306e-14
485,E3_I2_P84,,1.490219409453489e-14
486,E3_I2_P85,,0.0
487,E3_I2_P86,,7.061365783823058e-14
488,E3_I2_P87,,0.0
489,E3_I2_P88,,1.6033560900392204e-14
490,E3_I2_P89,,0.0
491,E3_I2_P90,,0.0
492,E3_I2_P91,,0.0
493,E3_I2_P92,,0.0
494,E3_I2_P93,,3.2541174102348325e-14
495,E3_I2_P94,,0.0
496,E3_I2_P95,,4.773720824986777e-14
497,E3_I2_P96,,0.0
498,E3_I2_P97,,0.0
499,E3_I2_P98,,0.0
500,E3_I2_P99,,0.0
501,E4_I2_P0,,0.0
502,E4_I2_P1,,3.262794797401339e-14
503,E4_I2_P2,,0.0
504,E4_I2_P3,,0.0
505,E4_I2_P4,,2.675475510726818e-14
506,E4_I2_P5,,8.040292052028554e-14
507,E4_I2_P6,,0.0
