time,Donor,PlasmidFreeDonor,Recipient,Transconjugant,Total,SIM
8340.0,1014181.1910897561,0.0,1014181.1817757883,0.009313968405769897,2028362.3821795129,1.0045855508752832e-14
8341.0,1014462.9472180894,0.0,1014462.9378986495,0.009319440543801606,2028925.8944361792,1.004586974859446e-14
8342.0,1014744.7816228936,0.0,1014744.7722979784,0.009324915813217061,2029489.5632457878,1.0045883848236494e-14
8343.0,1015026.6943259153,0.0,1015026.6849955217,0.00933039421578842,2030053.388651831,1.0045898050230719e-14
8344.0,1015308.685348907,0.0,1015308.6760130319,0.009335875753288847,2030617.3706978147,1.004591223294525e-14
8345.0,1015590.7547136273,0.0,1015590.7453722674,0.009341360427492496,2031181.5094272553,1.0045926396155529e-14
8346.0,1015872.9024418409,0.0,1015872.8930949932,0.009346848240174533,2031745.8048836824,1.0045940660857409e-14
8347.0,1016155.1285553185,0.0,1016155.1192029798,0.009352339193111115,2032310.2571106374,1.004595478434902e-14
8348.0,1016437.4330758366,0.0,1016437.423718004,0.009357833288079404,2032874.866151674,1.0045969008809546e-14
8349.0,1016719.8160251784,0.0,1016719.8066618486,0.009363330526857566,2033439.6320503573,1.0045983212795131e-14
8350.0,1017002.2774251327,0.0,1017002.2680563023,0.009368830911224767,2034004.5548502658,1.0045997396082343e-14
8351.0,1017284.817297494,0.0,1017284.8079231603,0.009374334442961176,2034569.6345949888,1.004601167948159e-14
8352.0,1017567.4356640638,0.0,1017567.4262842233,0.009379841123847966,2035134.8713281283,1.0046025820665355e-14
8353.0,1017850.1325466487,0.0,1017850.1231612983,0.009385350955667315,2035700.265093298,1.0046040061440852e-14
8354.0,1018132.907967062,0.0,1018132.8985761986,0.009390863940202405,2036265.8159341246,1.004605428055193e-14
8355.0,1018415.7619471226,0.0,1018415.7525507433,0.009396380079237423,2036831.523894246,1.0046068477776292e-14
8356.0,1018698.694508656,0.0,1018698.6851067573,0.009401899374557562,2037397.3890173128,1.0046082773739195e-14
8357.0,1018981.7056734932,0.0,1018981.6962660721,0.009407421827949023,2037963.4113469871,1.0046096926486858e-14
8358.0,1019264.7954634718,0.0,1019264.786050525,0.009412947441199011,2038529.590926944,1.0046111177455133e-14
8359.0,1019547.9639004349,0.0,1019547.9544819593,0.00941847621609574,2039095.9278008703,1.004612540557527e-14
8360.0,1019831.2110062321,0.0,1019831.2015822246,0.009424008154428433,2039662.4220124648,1.0046139731324652e-14
8361.0,1020114.5368027189,0.0,1020114.5273731763,0.009429543257987321,2040229.0736054385,1.0046153913048025e-14
8362.0,1020397.9413117568,0.0,1020397.9318766759,0.009435081528563644,2040795.8826235144,1.0046168191884621e-14
8363.0,1020681.4245552137,0.0,1020681.4151145914,0.009440622967949652,2041362.849110428,1.0046182446915379e-14
8364.0,1020964.9865549632,0.0,1020964.9771087962,0.009446167577938605,2041929.973109927,1.0046196798469995e-14
8365.0,1021248.6273328852,0.0,1021248.6178811705,0.009451715360324773,2042497.254665771,1.004621100519135e-14
8366.0,1021532.3469108654,0.0,1021532.3374535998,0.00945726631690344,2043064.6938217315,1.0046225307922448e-14
8367.0,1021816.1453107961,0.0,1021816.1358479762,0.009462820449470902,2043632.2906215927,1.004623958589372e-14
8368.0,1022100.022554575,0.0,1022100.0130861979,0.009468377759824462,2044200.0451091507,1.004625383888579e-14
8369.0,1022383.9786641067,0.0,1022383.969190169,0.009473938249762446,2044767.957328214,1.0046268066679492e-14
8370.0,1022668.013661301,0.0,1022668.0041817997,0.009479501921084184,2045336.0273226027,1.0046282389383347e-14
8371.0,1022952.1275680744,0.0,1022952.1180830062,0.009485068775590027,2045904.2551361495,1.0046296686377068e-14
8372.0,1023236.3204063494,0.0,1023236.3109157112,0.009490638815081338,2046472.6408126995,1.0046310957442182e-14
8373.0,1023520.5921980543,0.0,1023520.582701843,0.009496212041360497,2047041.1843961093,1.0046325322576793e-14
8374.0,1023804.9429651239,0.0,1023804.9334633361,0.009501788456230896,2047609.8859302485,1.0046339541093093e-14
8375.0,1024089.3727294988,0.0,1024089.3632221313,0.009507368061496949,2048178.745458998,1.0046353853169022e-14
8376.0,1024373.8815131256,0.0,1024373.8720001754,0.009512950858964083,2048747.763026252,1.0046368258476023e-14
8377.0,1024658.4693379574,0.0,1024658.4598194213,0.009518536850438748,2049316.9386759154,1.0046382516548945e-14
8378.0,1024943.1362259532,0.0,1024943.1267018279,0.009524126037728405,2049886.2724519072,1.0046396867344498e-14
8379.0,1025227.882199078,0.0,1025227.8726693603,0.009529718422641538,2050455.7643981567,1.0046411190540371e-14
8380.0,1025512.7072793029,0.0,1025512.6977439896,0.00953531400698765,2051025.4145586067,1.0046425485919868e-14
8381.0,1025797.6114886053,0.0,1025797.6019476932,0.009540912792577266,2051595.2229772112,1.0046439873187215e-14
8382.0,1026082.5948489686,0.0,1026082.5853024544,0.009546514781221928,2052165.1896979378,1.0046454112247834e-14
8383.0,1026367.6573823821,0.0,1026367.6478302628,0.009552119974734203,2052735.3147647649,1.0046468562537102e-14
8384.0,1026652.7991108416,0.0,1026652.7895531139,0.009557728374927675,2053305.5982216839,1.0046482864187819e-14
8385.0,1026938.0200563488,0.0,1026938.0104930094,0.009563339983616952,2053876.040112698,1.0046497256641358e-14
8386.0,1027223.3202409113,0.0,1027223.3106719571,0.009568954802617671,2054446.6404818231,1.0046511500099154e-14
8387.0,1027508.6996865433,0.0,1027508.6901119711,0.00957457283374648,2055017.3993730873,1.0046525953555012e-14
8388.0,1027794.1584152648,0.0,1027794.1488350714,0.009580194078821063,2055588.3168305303,1.0046540257585085e-14
8389.0,1028079.6964491019,0.0,1028079.6868632841,0.009585818539660122,2056159.3928982045,1.0046554651336801e-14
8390.0,1028365.313810087,0.0,1028365.3042186415,0.009591446218083385,2056730.6276201748,1.0046569014896232e-14
8391.0,1028651.0105202585,0.0,1028651.000923182,0.009597077115911607,2057302.0210405174,1.0046583348049136e-14
8392.0,1028936.7866016608,0.0,1028936.7769989502,0.00960271123496657,2057873.5732033222,1.0046597770096931e-14
8393.0,1029222.6420763447,0.0,1029222.6324679967,0.009608348577071081,2058445.28415269,1.0046612161236806e-14
8394.0,1029508.5769663668,0.0,1029508.5673523783,0.009613989144048974,2059017.1539327342,1.0046626521255196e-14
8395.0,1029794.5912937903,0.0,1029794.581674158,0.009619632937725114,2059589.1825875812,1.004664084993873e-14
8396.0,1030080.6850806839,0.0,1030080.6754554047,0.009625279959925391,2060161.3701613687,1.0046655266442726e-14
