,Experiments,LDM,SIM
301,E2_I2_P0,,0.0
302,E2_I2_P1,,8.152445571749012e-15
303,E2_I2_P2,,2.589234537878317e-14
304,E2_I2_P3,,1.2711753940159958e-13
305,E2_I2_P4,,1.3259701828719034e-14
306,E2_I2_P5,,0.0
307,E2_I2_P6,,1.5856802238227896e-14
308,E2_I2_P7,,0.0
309,E2_I2_P8,,0.0
310,E2_I2_P9,,1.7855361028001263e-14
311,E2_I2_P10,,8.044426736315792e-14
312,E2_I2_P11,,1.291567540070383e-14
313,E2_I2_P12,,0.0
314,E2_I2_P13,,0.0
315,E2_I2_P14,,1.5124423548322393e-14
316,E2_I2_P15,,1.1212763940632204e-14
317,E2_I2_P16,,8.955973096000229e-15
318,E2_I2_P17,,7.357687354441883e-15
319,E2_I2_P18,,1.7298931945254166e-14
320,E2_I2_P19,,0.0
321,E2_I2_P20,,5.044450055493631e-15
322,E2_I2_P21,,0.0
323,E2_I2_P22,,2.1920494201460963e-14
324,E2_I2_P23,,8.371111137082405e-15
325,E2_I2_P24,,0.0
326,E2_I2_P25,,1.1274664423368821e-13
327,E2_I2_P26,,7.323668149670845e-14
328,E2_I2_P27,,1.090670158300299e-13
329,E2_I2_P28,,0.0
330,E2_I2_P29,,0.0
331,E2_I2_P30,,1.4022701182253354e-14
332,E2_I2_P31,,0.0
333,E2_I2_P32,,8.97964503758114e-14
334,E2_I2_P33,,0.0
335,E2_I2_P34,,9.817437428276053e-15
336,E2_I2_P35,,2.2972969424726887e-14
337,E2_I2_P36,,1.4603617031905774e-14
338,E2_I2_P37,,0.0
339,E2_I2_P38,,0.0
340,E2_I2_P39,,9.534370024006365e-15
341,E2_I2_P40,,2.0052665670676765e-14
342,E2_I2_P41,,2.1355931469465725e-14
343,E2_I2_P42,,8.82574315073315e-15
344,E2_I2_P43,,7.413166670728819e-15
345,E2_I2_P44,,7.907377646727777e-15
346,E2_I2_P45,,1.3378640245082834e-14
347,E2_I2_P46,,1.214992768157315e-14
348,E2_I2_P47,,2.215093840972616e-14
349,E2_I2_P48,,1.640950838909149e-14
350,E2_I2_P49,,7.252215523465128e-15
351,E2_I2_P50,,2.1626213558150467e-14
352,E2_I2_P51,,2.41895880146194e-14
353,E2_I2_P52,,4.1710068069449585e-14
354,E2_I2_P53,,1.4730132765887725e-14
355,E2_I2_P54,,0.0
356,E2_I2_P55,,0.0
357,E2_I2_P56,,1.7511563841577127e-14
358,E2_I2_P57,,2.4511785030853428e-14
359,E2_I2_P58,,8.979676697742e-15
360,E2_I2_P59,,1.7173750591448525e-14
361,E2_I2_P60,,0.0
362,E2_I2_P61,,0.0
363,E2_I2_P62,,1.3316695717552074e-14
364,E2_I2_P63,,1.368580511733348e-14
365,E2_I2_P64,,2.0099551434655107e-14
366,E2_I2_P65,,7.256622779152282e-15
367,E2_I2_P66,,1.2782942330892395e-14
368,E2_I2_P67,,0.0
369,E2_I2_P68,,8.49995227185764e-15
370,E2_I2_P69,,1.1123107525867953e-14
371,E2_I2_P70,,0.0
372,E2_I2_P71,,0.0
373,E2_I2_P72,,0.0
374,E2_I2_P73,,0.0
375,E2_I2_P74,,9.002828488435864e-14
376,E2_I2_P75,,7.699825257924179e-14
377,E2_I2_P76,,1.6294247614907333e-14
378,E2_I2_P77,,1.5189997628185722e-14
379,E2_I2_P78,,0.0
380,E2_I2_P79,,3.271467861046727e-14
381,E2_I2_P80,,2.014353006416295e-14
382,E2_I2_P81,,2.748600976499649e-14
383,E2_I2_P82,,0.0
384,E2_I2_P83,,0.0
385,E2_I2_P84,,2.851006457569403e-14
386,E2_I2_P85,,7.171294041497553e-15
387,E2_I2_P86,,3.959396565233247e-14
388,E2_I2_P87,,8.648640005799863e-14
389,E2_I2_P88,,8.799316751438072e-15
390,E2_I2_P89,,1.6077254278240236e-14
391,E2_I2_P90,,0.0
392,E2_I2_P91,,6.468627344792036e-15
393,E2_I2_P92,,0.0
394,E2_I2_P93,,1.5898158560793778e-14
395,E2_I2_P94,,7.303611892850092e-14
396,E2_I2_P95,,2.3256964592078707e-13
397,E2_I2_P96,,1.0205898839015216e-14
398,E2_I2_P97,,0.0
399,E2_I2_P98,,2.9648980568216484e-14
400,E2_I2_P99,,4.2950136369948956e-15
401,E3_I2_P0,,0.0
402,E3_I2_P1,,1.0529642287738937e-14
403,E3_I2_P2,,6.902001892911844e-15
404,E3_I2_P3,,3.200452240800944e-14
405,E3_I2_P4,,6.0945595241738365e-15
406,E3_I2_P5,,8.443921784884552e-15
407,E3_I2_P6,,1.5588120418769936e-14
408,E3_I2_P7,,5.3590879638454686e-15
409,E3_I2_P8,,0.0
410,E3_I2_P9,,2.1049055268877344e-14
411,E3_I2_P10,,9.627401994062072e-15
412,E3_I2_P11,,9.168961107694792e-15
413,E3_I2_P12,,6.676011489705695e-15
414,E3_I2_P13,,5.5612905744160165e-15
415,E3_I2_P14,,1.0594355698151472e-13
416,E3_I2_P15,,0.0
417,E3_I2_P16,,6.985073593988216e-15
418,E3_I2_P17,,1.0426710695634568e-14
419,E3_I2_P18,,1.7775518930930722e-14
420,E3_I2_P19,,5.644853041115771e-15
421,E3_I2_P20,,0.0
422,E3_I2_P21,,3.494961548633923e-14
423,E3_I2_P22,,0.0
424,E3_I2_P23,,0.0
425,E3_I2_P24,,2.6366253627462976e-14
426,E3_I2_P25,,2.7021991698500488e-14
427,E3_I2_P26,,1.7979782246142182e-14
428,E3_I2_P27,,0.0
429,E3_I2_P28,,0.0
430,E3_I2_P29,,9.425567715938221e-14
431,E3_I2_P30,,0.0
432,E3_I2_P31,,0.0
433,E3_I2_P32,,4.3076278353978105e-15
434,E3_I2_P33,,0.0
435,E3_I2_P34,,8.580293804815113e-15
436,E3_I2_P35,,0.0
437,E3_I2_P36,,5.98653385995322e-15
438,E3_I2_P37,,3.142934264138366e-14
439,E3_I2_P38,,6.6045031250076695e-15
440,E3_I2_P39,,0.0
441,E3_I2_P40,,1.3217389198251675e-14
442,E3_I2_P41,,1.3067760353576668e-14
443,E3_I2_P42,,0.0
444,E3_I2_P43,,1.6887836992747048e-14
445,E3_I2_P44,,0.0
446,E3_I2_P45,,1.0223418673886757e-14
447,E3_I2_P46,,1.1089984200531394e-14
448,E3_I2_P47,,3.0446629714942007e-14
449,E3_I2_P48,,1.5069115632488988e-14
450,E3_I2_P49,,1.246191238699272e-14
451,E3_I2_P50,,0.0
452,E3_I2_P51,,8.262968814915971e-15
453,E3_I2_P52,,1.3987954230273285e-14
454,E3_I2_P53,,0.0
455,E3_I2_P54,,0.0
456,E3_I2_P55,,0.0
457,E3_I2_P56,,0.0
458,E3_I2_P57,,1.5744035518810212e-14
459,E3_I2_P58,,1.665880059550968e-14
460,E3_I2_P59,,0.0
461,E3_I2_P60,,0.0
462,E3_I2_P61,,6.461196640492987e-15
463,E3_I2_P62,,0.0
464,E3_I2_P63,,1.3144717966481362e-14
465,E3_I2_P64,,5.115860411721926e-15
466,E3_I2_P65,,1.4857509496432313e-14
467,E3_I2_P66,,0.0
468,E3_I2_P67,,1.057665864510194e-14
469,E3_I2_P68,,6.184462544758519e-14
470,E3_I2_P69,,1.3665798307093569e-14
471,E3_I2_P70,,0.0
472,E3_I2_P71,,0.0
473,E3_I2_P72,,1.2202834285159335e-14
474,E3_I2_P73,,0.0
475,E3_I2_P74,,1.0587563731240456e-14
476,E3_I2_P75,,1.6764766127155577e-14
477,E3_I2_P76,,2.242468584186026e-14
478,E3_I2_P77,,0.0
